,Manufacturer,Classification,Designation,Primary Data,,,Refractive Indices,,,,,Dispersions,,,,,,Coefficients of Dispersion Formulae,,,,,,,Relative Internal Transmittance (at 10mm Thickness),,,,,,,,,,,Remarks,,,
,manufacturer,classification,glass,nd,vd,ve,nC,nd,ne,nF,ng,nF-nC,nd-nC,ng-nF,"?d,C","?g,F","??g,F",Formula,a1,a2,a3,a4,a5,a6,?0.80,?0.05,800nm,700nm,600nm,550nm,500nm,460nm,400nm,380nm,Std. Deviation,Precision Molding, i-line Capable,High Homogeneity,Other Comments
619,Hikari,Lanthanide,J-LASFH15,1.95,29.37,29.14,1.9406,1.95,1.9576,1.973,1.9924,0.03235,0.009374,0.019414,0.2898,0.6001,0.005,"Sellmeier, n=3",1.128081400E-01,8.533783360E+01,2.630464330E-02,5.512365150E-02,4.421436410E-01,7.630302790E-03,409,366,98.90%,99.20%,99.10%,98.90%,97.50%,94.80%,72.00%,37.00%,22.28%,Not Specified,Not Specified,Not Specified,
823,CDGM,Niobophosphate,H-ZF88,1.946,17.94,17.8,1.9312,1.946,1.9583,1.9839,2.0185,0.052723,0.014735,0.034544,0.2795,0.6552,0.0401,"Sellmeier, n=3",2.042753490E+00,1.697429760E-02,1.982761530E+00,1.090681510E+02,5.042678290E-01,7.517107100E-02,,390,99.50%,99.30%,98.90%,97.90%,94.60%,88.60%,23.60%,,27.81%,Not Specified,Not Specified,Not Specified,
211,Hoya,Niobophosphate,FDS18,1.9459,17.98,17.84,1.9312,1.9459,1.9583,1.9838,2.0183,0.0526,0.01471,0.03443,0.2797,0.654563,0.0386,"Schott, n=2 m=4",3.563784000E+00,-2.54E-02,5.840165900E-02,9.231098300E-03,-9.55E-04,1.177745600E-04,449,398,99.60%,99.20%,98.20%,96.60%,92.30%,84.50%,7.40%,0.00%,42.63%,Not Specified,Not Specified,Not Specified,
132,Ohara,Niobophosphate,S-NPH 2,1.9229,18.9,18.7,1.9092,1.9229,1.9343,1.958,1.9897,0.04884,0.013702,0.031721,0.2806,0.6495,0.0386,"Sellmeier, n=3",2.038695100E+00,4.372696410E-01,2.967114610E+00,1.707962240E-02,7.492548130E-02,1.741553540E+02,433,391,99.60%,98.80%,98.80%,97.80%,95.30%,91.00%,24.00%,,27.71%,Not Specified,Not Specified,Available,
206,Hoya,Niobophosphate,E-FDS1,1.9229,20.88,20.71,1.9104,1.9229,1.9332,1.9546,1.9828,0.04419,0.01248,0.02824,0.2825,0.639059,0.0283,"Schott, n=2 m=4",3.504463900E+00,-2.03E-02,5.380270000E-02,6.287419200E-03,-5.69E-04,7.355938700E-05,427,386,99.60%,99.70%,99.30%,98.30%,96.00%,91.90%,37.60%,0.00%,37.86%,Not Specified,Not Specified,Not Specified,
357,Hoya,Niobophosphate,M-FDS1,1.9229,20.88,20.71,1.9104,1.9229,1.9332,1.9546,1.9827,0.0442,0.0125,0.02815,0.2828,0.636878,0.0263,"Schott, n=2 m=4",3.498422400E+00,-2.29E-01,7.790856806E-01,2.573676183E-01,-7.32E-02,4.202361999E-02,436,391,99.70%,99.50%,99.30%,98.30%,95.30%,89.60%,20.90%,0.00%,40.57%,Suitable,Not Specified,Not Specified,
815,CDGM,Niobophosphate,H-ZF62,1.9229,20.88,20.7,1.9104,1.9229,1.9332,1.9546,1.9829,0.044198,0.012468,0.028283,0.2821,0.6399,0.0298,"Sellmeier, n=3",2.552467960E+00,1.624506830E+02,4.656816070E-01,6.956008100E-02,2.028946800E+00,1.477113800E-02,,385,99.20%,99.00%,98.40%,97.30%,94.40%,90.80%,53.60%,,16.50%,Not Specified,Not Specified,Not Specified,
618,Hikari,Lanthanide,J-LASFH13HS,1.9037,31.27,31.04,1.8953,1.9037,1.9105,1.9241,1.9413,0.028895,0.0084,0.0172,0.2909,0.5948,0.0029,"Sellmeier, n=3",1.331019660E-01,9.962196700E+01,2.601389030E-02,5.276688330E-02,4.270584880E-01,7.327856650E-03,389,358,98.20%,98.20%,98.00%,97.60%,96.80%,95.30%,87.00%,69.00%,10.21%,Not Specified,Not Specified,Not Specified,Transmission improved type.
819,CDGM,Niobophosphate,H-ZF72A,1.9229,18.9,18.74,1.9092,1.9229,1.9343,1.958,1.9897,0.048839,0.013695,0.031739,0.2804,0.6499,0.0363,"Sellmeier, n=3",4.704786530E-01,7.360245090E-02,2.550402330E+00,1.493066210E+02,2.005934410E+00,1.629992260E-02,,390,99.60%,99.50%,99.20%,98.20%,95.50%,90.30%,35.30%,,23.58%,Not Specified,Not Specified,Not Specified,
214,Hoya,Niobophosphate,FDS24,1.9212,23.96,23.77,1.9102,1.9212,1.9302,1.9487,1.9725,0.03845,0.01099,0.02385,0.2858,0.620286,0.015,"Schott, n=2 m=4",3.512632700E+00,-1.53E-02,5.393606100E-02,3.494936900E-03,-1.80E-04,3.440318100E-05,419,369,99.70%,99.20%,98.90%,98.30%,95.80%,92.00%,65.70%,30.10%,24.90%,Not Specified,Not Specified,Not Specified,
